cueLines,Win,netOutcome,n,p,trials_375,credits1,trials_500,credits2
1,0,-90,24136,24.136,90.50999999999999,-8145.9,120.67999999999999,-10861.199999999999
1,1,-50,1207,1.207,4.52625,-226.3125,6.035,-301.75
1,1,-10,1191,1.191,4.4662500000000005,-44.66250000000001,5.955,-59.55
1,1,10,1172,1.172,4.395,43.949999999999996,5.859999999999999,58.599999999999994
1,1,50,1205,1.205,4.51875,225.9375,6.025,301.25
1,1,687,1259,1.2590000000000001,4.72125,3243.49875,6.295,4324.665
2,0,-90,35906,35.906,134.6475,-12118.275000000001,179.53,-16157.7
2,1,-50,4723,4.723,17.71125,-885.5625,23.615000000000002,-1180.75
2,1,-10,4715,4.715,17.68125,-176.8125,23.575,-235.75
2,1,10,4957,4.957000000000001,18.58875,185.88750000000002,24.785,247.85
2,1,50,4774,4.774,17.9025,895.125,23.869999999999997,1193.4999999999998
2,1,687,4755,4.755,17.83125,12250.06875,23.775000000000002,16333.425000000001
3,0,-90,3969,3.9690000000000003,14.883750000000001,-1339.5375000000001,19.845000000000002,-1786.0500000000002
3,1,-50,1215,1.2149999999999999,4.5562499999999995,-227.81249999999997,6.074999999999999,-303.74999999999994
3,1,-10,1277,1.277,4.78875,-47.8875,6.385,-63.849999999999994
3,1,10,1174,1.174,4.4025,44.025,5.87,58.7
3,1,50,1153,1.153,4.32375,216.18750000000003,5.765000000000001,288.25
3,1,687,1212,1.212,4.545,3122.415,6.0600000000000005,4163.22
